Date,Open,High,Low,Close,Volume
2024-03-25,107.0,108.5,106.8,108.2,1234500
2024-03-26,108.2,109.0,107.5,108.7,1320000
2024-03-27,108.5,110.2,108.0,109.8,1455000
2024-03-28,109.8,111.5,109.3,111.2,1523000
2024-03-29,111.0,112.4,110.5,111.8,1487000
2024-04-01,111.5,113.0,111.2,112.6,1398000
2024-04-02,112.6,113.8,112.0,113.2,1412000
2024-04-03,113.0,114.5,112.8,114.1,1506000
2024-04-04,114.2,115.7,113.9,115.5,1574000
2024-04-05,115.5,116.8,114.7,116.2,1600000
2024-04-08,116.8,117.9,115.9,117.4,1558000
2024-04-09,117.4,118.6,116.5,118.1,1499000
2024-04-10,118.2,119.7,117.6,119.0,1583000
2024-04-11,119.0,120.8,118.4,120.5,1675000
2024-04-12,120.5,121.3,119.6,120.9,1612000
2024-04-15,120.9,122.4,120.2,121.8,1698500
2024-04-16,121.8,123.1,121.0,122.7,1734000
2024-04-17,122.7,123.9,122.1,123.4,1659000
2024-04-18,123.4,124.8,122.9,124.2,1721000
2024-04-19,124.2,125.6,123.5,125.0,1804500
